argv[0]=
argv[0]=
pybullet build time: Nov 28 2023 23:52:03
global_step=354000, episodic_return=681.3709106445312
SPS: 691
global_step=355000, episodic_return=662.923583984375
global_step=356000, episodic_return=671.5304565429688
SPS: 692
global_step=357000, episodic_return=677.2637939453125
global_step=358000, episodic_return=673.1718139648438
SPS: 693
global_step=359000, episodic_return=714.7793579101562
global_step=360000, episodic_return=704.509765625
SPS: 694
global_step=361000, episodic_return=712.0274658203125
global_step=362000, episodic_return=675.831787109375
SPS: 695
global_step=363000, episodic_return=724.8141479492188
global_step=364000, episodic_return=686.8070678710938
SPS: 696
global_step=365000, episodic_return=776.5177001953125
global_step=366000, episodic_return=725.8082885742188
SPS: 697
global_step=367000, episodic_return=767.302490234375
global_step=368000, episodic_return=799.0906372070312
SPS: 698
global_step=369000, episodic_return=722.8960571289062
global_step=370000, episodic_return=754.5
SPS: 699
global_step=371000, episodic_return=717.787109375
global_step=372000, episodic_return=789.2546997070312
SPS: 700
global_step=373000, episodic_return=732.1864013671875
global_step=374000, episodic_return=800.5771484375
SPS: 701
global_step=375000, episodic_return=822.5323486328125
global_step=376000, episodic_return=827.7994384765625
SPS: 702
global_step=377000, episodic_return=805.2700805664062
global_step=378000, episodic_return=780.303466796875
SPS: 703
global_step=379000, episodic_return=801.4033203125
global_step=380000, episodic_return=808.6124267578125
SPS: 704
global_step=381000, episodic_return=762.6148681640625
global_step=382000, episodic_return=778.2650146484375
SPS: 705
global_step=383000, episodic_return=810.84033203125
global_step=384000, episodic_return=846.8135375976562
global_step=385000, episodic_return=781.7196044921875
SPS: 706
global_step=386000, episodic_return=825.8138427734375
global_step=387000, episodic_return=792.8209838867188
SPS: 707
global_step=388000, episodic_return=786.2127685546875
global_step=389000, episodic_return=758.9178466796875
SPS: 708
global_step=390000, episodic_return=755.9776000976562
global_step=391000, episodic_return=833.739501953125
SPS: 709
global_step=392000, episodic_return=869.366455078125
global_step=393000, episodic_return=888.7943725585938
SPS: 710
global_step=394000, episodic_return=835.8505249023438
global_step=395000, episodic_return=769.30859375
SPS: 711
global_step=396000, episodic_return=849.8355712890625
global_step=397000, episodic_return=822.5421752929688
SPS: 712
global_step=398000, episodic_return=810.8828735351562
global_step=399000, episodic_return=811.8456420898438
SPS: 713
global_step=400000, episodic_return=806.7203979492188
global_step=401000, episodic_return=788.1832275390625
SPS: 714
global_step=402000, episodic_return=814.831787109375
global_step=403000, episodic_return=764.535888671875
SPS: 714
global_step=404000, episodic_return=847.525146484375
global_step=405000, episodic_return=822.0277099609375
SPS: 715
global_step=406000, episodic_return=778.581298828125
global_step=407000, episodic_return=764.7567749023438
SPS: 716
global_step=408000, episodic_return=869.731201171875
global_step=409000, episodic_return=855.3722534179688
SPS: 717
global_step=410000, episodic_return=835.4171752929688
global_step=411000, episodic_return=845.2903442382812
SPS: 718
global_step=412000, episodic_return=848.3875732421875
global_step=413000, episodic_return=863.6201171875
SPS: 719
global_step=414000, episodic_return=804.6997680664062
global_step=415000, episodic_return=833.3756713867188
SPS: 720
global_step=416000, episodic_return=808.2252807617188
global_step=417000, episodic_return=848.4051513671875
SPS: 720
global_step=418000, episodic_return=843.944580078125
global_step=419000, episodic_return=810.63525390625
SPS: 721
global_step=420000, episodic_return=784.5592651367188
global_step=421000, episodic_return=829.61328125
SPS: 722
global_step=422000, episodic_return=825.9160766601562
global_step=423000, episodic_return=819.6758422851562
SPS: 723
global_step=424000, episodic_return=804.197998046875
global_step=425000, episodic_return=828.7451171875
SPS: 724
global_step=426000, episodic_return=812.2228393554688
global_step=427000, episodic_return=794.8447265625
global_step=428000, episodic_return=844.536376953125
SPS: 725
global_step=429000, episodic_return=842.2811279296875
global_step=430000, episodic_return=864.5372924804688
SPS: 725
global_step=431000, episodic_return=788.54638671875
global_step=432000, episodic_return=812.4556274414062
SPS: 726
global_step=433000, episodic_return=790.94873046875
global_step=434000, episodic_return=839.0952758789062
SPS: 727
global_step=435000, episodic_return=859.9758911132812
global_step=436000, episodic_return=864.7552490234375
SPS: 728
global_step=437000, episodic_return=842.0602416992188
global_step=438000, episodic_return=869.4589233398438
SPS: 729
global_step=439000, episodic_return=859.9034423828125
global_step=440000, episodic_return=804.02197265625
SPS: 729
global_step=441000, episodic_return=824.9953002929688
global_step=442000, episodic_return=857.5017700195312
SPS: 730
global_step=443000, episodic_return=880.2103271484375
global_step=444000, episodic_return=864.9322509765625
SPS: 731
global_step=445000, episodic_return=869.39794921875
global_step=446000, episodic_return=848.8018188476562
SPS: 732
global_step=447000, episodic_return=892.9219970703125
global_step=448000, episodic_return=888.5536499023438
SPS: 733
global_step=449000, episodic_return=906.5034790039062
global_step=450000, episodic_return=880.69482421875
SPS: 733
global_step=451000, episodic_return=901.3981323242188
global_step=452000, episodic_return=927.8801879882812
SPS: 734
global_step=453000, episodic_return=909.5425415039062
global_step=454000, episodic_return=888.6845092773438
SPS: 735
global_step=455000, episodic_return=870.611083984375
global_step=456000, episodic_return=847.4407348632812
SPS: 736
global_step=457000, episodic_return=870.579833984375
global_step=458000, episodic_return=865.307861328125
SPS: 737
global_step=459000, episodic_return=882.656494140625
global_step=460000, episodic_return=878.46435546875
